kind,code,label_ca,label_es,label_en,description_ca,description_es,description_en
activity,eat_outdoors,Menjar o beure a fora,Comer o beber fuera,Eating or drinking outdoors,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
activity,walking,Passejar,Pasear,Walking,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
activity,gardening,Jardineria,Jardinería,Gardening,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
activity,sport,Esport,Deporte,Sport or exercise,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
activity,work,A la feina,En el trabajo,At work,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
activity,socialising,Trobar-se a fora,Reunirse fuera,Socialising outdoors,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
activity,commuting,Desplaçar-se,Desplazarse,Commuting,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
activity,other_activity,Altres,Otras,Other,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
place_type,home_garden,Jardí o balcó de casa,Jardín o balcón de casa,Home garden or balcony,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
place_type,street,Carrer o plaça,Calle o plaza,Street or square,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
place_type,park,Parc o zona verda,Parque o zona verde,Park or green space,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
place_type,terrace,Terrassa,Terraza,Outdoor café or terrace,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
place_type,workplace,Lloc de treball,Lugar de trabajo,Workplace,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
place_type,home_indoors,Dins de casa,Dentro de casa,Home indoors,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
place_type,transport,Transport públic,Transporte público,Public transport,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
place_type,other_place,Altres,Otros,Other,Categoria de demostració; pendent de text aprovat.,Categoría de demostración; pendiente de texto aprobado.,Demonstration category; approved text pending.
setting,indoor,Interior,Interior,Indoors,,,
setting,outdoor,Exterior,Exterior,Outdoors,,,
season,all,Tot l’any,Todo el año,All year,,,
season,summer,Juny–setembre,Junio–septiembre,June–September,,,
season,rest,Resta de l’any,Resto del año,Rest of year,,,
